year,month,DOC  [mg L-1]
1883,1,1.83
1883,2,2.6
1883,3,0.97
1883,4,1.15
1883,5,1.47
1883,6,1.3
1883,7,1.42
1883,8,1.51
1883,9,1.17
1883,10,2.02
1883,11,2.38
1883,12,2.63
1884,1,1.83
1884,2,1.65
1884,3,1.52
1884,4,1.05
1884,5,1.17
1884,6,1.73
1884,7,1.33
1884,8,1.27
1884,9,1.2
1884,10,1.43
1884,11,1.59
1884,12,2.91
1885,1,2.34
1885,2,3.52
1885,3,2.74
1885,4,1.91
1885,5,1.42
1885,6,1.37
1885,7,1.23
1885,8,1.37
1885,9,1.25
1885,10,1.28
1885,11,2.85
1885,12,1.47
1886,1,1.25
1886,2,1.29
1886,3,0.91
1886,4,1.07
1886,5,1.05
1886,6,1.03
1886,7,1.06
1886,8,1.24
1886,9,1.15
1886,10,1.1
1886,11,1.39
1886,12,1.56
1887,1,3.07
1887,2,2.72
1887,3,1.99
1887,4,1.95
1887,5,1.26
1887,6,1.25
1887,7,0.74
1887,8,0.63
1887,9,0.71
1887,10,0.65
1887,11,0.96
1887,12,1.19
1888,1,1.8
1888,2,1.29
1888,3,1.63
1888,4,1.67
1888,5,1.74
1888,6,1.23
1888,7,1.75
1888,8,2.29
1888,9,1.31
1888,10,1.28
1888,11,2.64
1888,12,3.27
1889,1,2.75
1889,2,2.72
1889,3,2.47
1889,4,2.19
1889,5,1.58
1889,6,2.58
1889,7,1.87
1889,8,2.02
1889,9,2.02
1889,10,2
1889,11,1.95
1889,12,1.81
1890,1,2.03
1890,2,2.02
1890,3,1.3
1890,4,1.44
1890,5,1.59
1890,6,1.36
1890,7,2.19
1890,8,1.84
1890,9,1.31
1890,10,1.21
1890,11,1.61
1890,12,1.69
1891,1,1.62
1891,2,2.58
1891,3,1.67
1891,4,1.66
1891,5,1.15
1891,6,1.61
1891,7,1.12
1891,8,1.38
1891,9,1.83
1891,10,1.87
1891,11,2.06
1891,12,1.97
1892,1,1.37
1892,2,1.01
1892,3,1.07
1892,4,0.79
1892,5,0.7
1892,6,0.84
1892,7,1.45
1892,8,1.47
1892,9,1.98
1892,10,1.67
1892,11,2.61
1892,12,2.49
1893,1,2.45
1893,2,3.28
1893,3,2.6
1893,4,1.48
1893,5,1.49
1893,6,2.05
1893,7,1.95
1893,8,1.79
1893,9,1.57
1893,10,1.66
1893,11,1.9
1893,12,2.18
1894,1,2.77
1894,2,2.48
1894,3,2.44
1894,4,1.83
1894,5,1.84
1894,6,2.25
1894,7,2.01
1894,8,2.29
1894,9,2.71
1894,10,3.67
1894,11,3.52
1894,12,2.14
1895,1,2.01
1895,2,1.94
1895,3,1.86
1895,4,2.01
1895,5,1.17
1895,6,1.18
1895,7,1.13
1895,8,1.17
1895,9,1.03
1895,10,1.13
1895,11,1.58
1895,12,1.64
1896,1,1.46
1896,2,1.42
1896,3,1.73
1896,4,1.33
1896,5,1.11
1896,6,1.37
1896,7,1.45
1896,8,1.38
1896,9,1.39
1896,10,1.77
1896,11,1.41
1896,12,1.82
1897,1,1.75
1897,2,1.88
1897,3,1.77
1897,4,1.02
1897,5,0.88
1897,6,1.09
1897,7,1.24
1897,8,1.09
1897,9,1.25
1897,10,1.29
1897,11,1.29
1897,12,1.6
1898,1,1.92
1898,2,1.24
1898,3,1.18
1898,4,1.18
1898,5,1.18
1898,6,1.43
1898,7,1.13
1898,8,1.03
1898,9,1.09
1898,10,1.19
1898,11,1.39
1898,12,2.49
1899,1,2.59
1899,2,2.65
1899,3,1.31
1899,4,0.96
1899,5,1.25
1899,6,1.21
1899,7,1.14
1899,8,1.53
1899,9,1.61
1899,10,1.34
1899,11,2.53
1899,12,2.11
1900,1,2.87
1900,2,3.04
1900,3,3.03
1900,4,2.24
1900,5,1.41
1900,6,1.31
1900,7,1.55
1900,8,1.56
1900,9,1.42
1900,10,1.36
1900,11,1.4
1900,12,1.54
1901,1,2.3
1901,2,1.7
1901,3,1.82
1901,4,1.91
1901,5,1.35
1901,6,1.36
1901,7,1.9
1901,8,1.41
1901,9,1.5
1901,10,1.4
1901,11,1.45
1901,12,1.86
1902,1,1.99
1902,2,1.68
1902,3,2.09
1902,4,1.74
1902,5,1.54
1902,6,1.89
1902,7,1.86
1902,8,1.32
1902,9,1.43
1902,10,1.27
1902,11,1.44
1902,12,2.33
1903,1,2.79
1903,2,2.13
1903,3,2.45
1903,4,1.61
1903,5,2.25
1903,6,2.46
1903,7,1.97
1903,8,1.41
1903,9,1.48
1903,10,2.57
1903,11,2.68
1903,12,2.34
1904,1,1.52
1904,2,2.27
1904,3,1.17
1904,4,1.07
1904,5,1.15
1904,6,2.13
1904,7,1.66
1904,8,1.73
1904,9,1.65
1904,10,1.61
1904,11,1.81
1904,12,2.06
1905,1,1.68
1905,2,1.45
1905,3,1.59
1905,4,1.62
1905,5,1.46
1905,6,1.65
1905,7,1.67
1905,8,1.52
1905,9,1.37
1905,10,1.27
1905,11,1.74
1905,12,1.64
1906,1,2.12
1906,2,2.12
1906,3,2.02
1906,4,1.74
1906,5,1.36
1906,6,1.74
1906,7,1.74
1906,8,1.64
1906,9,1.55
1906,10,1.74
1906,11,1.74
1906,12,1.83
1907,1,1.93
1907,2,1.93
